run_id,scenario,model,model_class,postmortem,round_time_budget_seconds,round_number,success,success_raw,note
veyru/1777028886,veyru,gpt-5.4,closed,True,250,1,1,1.0,stabilized
veyru/1777028886,veyru,gpt-5.4,closed,True,250,2,1,1.0,stabilized
veyru/1777028886,veyru,gpt-5.4,closed,True,250,3,1,1.0,stabilized
veyru/1777028886,veyru,gpt-5.4,closed,True,250,4,0,0.0,collapsed (partial stages)
veyru/1777028886,veyru,gpt-5.4,closed,True,250,5,0,0.0,collapsed (partial stages)
veyru/1777028886,veyru,gpt-5.4,closed,True,250,6,0,0.0,collapsed
veyru/1777028886,veyru,gpt-5.4,closed,True,250,7,0,0.0,collapsed (partial stages)
veyru/1777028886,veyru,gpt-5.4,closed,True,250,8,1,1.0,stabilized
veyru/1777028886,veyru,gpt-5.4,closed,True,250,9,0,0.0,collapsed (partial stages)
veyru/1777028886,veyru,gpt-5.4,closed,True,250,10,0,0.0,collapsed (partial stages)
veyru/1777028886,veyru,gpt-5.4,closed,True,250,11,0,0.0,collapsed (partial stages)
veyru/1777028886,veyru,gpt-5.4,closed,True,250,12,0,0.0,collapsed (partial stages)
veyru/1777028886,veyru,gpt-5.4,closed,True,250,13,1,1.0,stabilized
veyru/1777028886,veyru,gpt-5.4,closed,True,250,14,0,0.0,collapsed (partial stages)
veyru/1777028886,veyru,gpt-5.4,closed,True,250,15,0,0.0,collapsed (partial stages)
veyru/1777029331,veyru,gpt-5.4,closed,True,450,1,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,2,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,3,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,4,0,0.0,collapsed (partial stages)
veyru/1777029331,veyru,gpt-5.4,closed,True,450,5,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,6,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,7,0,0.0,collapsed (partial stages)
veyru/1777029331,veyru,gpt-5.4,closed,True,450,8,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,9,0,0.0,collapsed (partial stages)
veyru/1777029331,veyru,gpt-5.4,closed,True,450,10,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,11,0,0.0,collapsed (partial stages)
veyru/1777029331,veyru,gpt-5.4,closed,True,450,12,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,13,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,14,1,1.0,stabilized
veyru/1777029331,veyru,gpt-5.4,closed,True,450,15,0,0.0,collapsed (partial stages)
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,1,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,2,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,3,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,4,0,0.0,collapsed (partial stages)
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,5,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,6,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,7,0,0.0,collapsed (partial stages)
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,8,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,9,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,10,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,11,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,12,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,13,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,14,1,1.0,stabilized
veyru/1777030101_2,veyru,gpt-5.4,closed,True,450,15,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,1,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,2,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,3,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,4,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,5,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,6,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,7,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,8,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,9,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,10,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,11,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,12,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,13,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,14,1,1.0,stabilized
veyru/1777031852_2,veyru,gpt-5.4,closed,True,800,15,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,1,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,2,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,3,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,4,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,5,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,6,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,7,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,8,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,9,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,10,1,1.0,stabilized
veyru/1777031875,veyru,gpt-5.4,closed,True,800,11,1,1.0,stabilized
